I0,I1,I2,I3,I4,I5
0.228051,-0.261901,-2.157488,-0.373638,0.000000,0.000000
0.220474,-0.261901,-2.110905,-0.417890,0.000000,0.000000
0.214936,-0.267076,-2.090201,-0.438107,0.000000,0.000000
0.207002,-0.275703,-2.066047,-0.462903,0.000000,0.000000
0.200998,-0.280879,-2.057420,-0.481215,0.000000,0.000000
0.192606,-0.287780,-2.052245,-0.503721,0.000000,0.000000
0.180834,-0.303308,-2.053970,-0.520124,0.000000,0.000000
0.171687,-0.327462,-2.055695,-0.513639,0.000000,0.000000
0.163730,-0.353341,-2.040167,-0.512877,0.000000,0.000000
0.156518,-0.377496,-2.026365,-0.510969,0.000000,0.000000
0.152241,-0.387847,-2.028090,-0.497999,0.000000,0.000000
0.146556,-0.405100,-2.028090,-0.497236,0.000000,0.000000
0.144189,-0.413727,-2.028090,-0.497236,0.000000,0.000000
0.139891,-0.443057,-2.026365,-0.497618,0.000000,0.000000
0.136886,-0.467211,-2.021189,-0.505629,0.000000,0.000000
0.134033,-0.499992,-2.016013,-0.512877,0.000000,0.000000
0.131251,-0.524146,-2.010837,-0.535003,0.000000,0.000000
0.126916,-0.546575,-1.991859,-0.567809,0.000000,0.000000
0.122810,-0.548300,-1.974606,-0.609009,0.000000,0.000000
0.120723,-0.548300,-1.967705,-0.623505,0.000000,0.000000
0.116694,-0.550026,-1.959078,-0.642197,0.000000,0.000000
0.113809,-0.550026,-1.957353,-0.646774,0.000000,0.000000
0.111147,-0.550026,-1.957353,-0.654405,0.000000,0.000000
0.106693,-0.558652,-1.957353,-0.655549,0.000000,0.000000
0.101963,-0.569004,-1.957353,-0.655931,0.000000,0.000000
0.098568,-0.570729,-1.957353,-0.655931,0.000000,0.000000
0.095166,-0.569004,-1.965980,-0.655931,0.000000,0.000000
0.089686,-0.532773,-2.016013,-0.655549,0.000000,0.000000
0.085837,-0.499992,-2.060871,-0.643341,0.000000,0.000000
0.081988,-0.482739,-2.085025,-0.600616,0.000000,0.000000
0.076757,-0.481014,-2.081575,-0.573913,0.000000,0.000000
0.072901,-0.479288,-2.076399,-0.609009,0.000000,0.000000
0.071211,-0.477563,-2.079849,-0.607483,0.000000,0.000000
0.069945,-0.475838,-2.071223,-0.614731,0.000000,0.000000
0.069521,-0.474112,-2.062596,-0.638763,0.000000,0.000000
0.069271,-0.474112,-2.062596,-0.641052,0.000000,0.000000
0.068729,-0.474112,-2.055695,-0.652879,0.000000,0.000000
0.068387,-0.474112,-2.055695,-0.658219,0.000000,0.000000
0.067674,-0.474112,-2.055695,-0.662034,0.000000,0.000000
0.066731,-0.475838,-2.055695,-0.662797,0.000000,0.000000
0.065612,-0.477563,-2.055695,-0.662797,0.000000,0.000000
0.065344,-0.479288,-2.055695,-0.662797,0.000000,0.000000
0.065343,-0.479288,-2.053970,-0.658982,0.000000,0.000000
0.065343,-0.484464,-2.053970,-0.655549,0.000000,0.000000
0.065343,-0.493091,-2.052245,-0.654023,0.000000,0.000000
0.065343,-0.496541,-2.052245,-0.651352,0.000000,0.000000
0.065343,-0.496541,-2.052245,-0.651352,0.000000,0.000000
0.065343,-0.493091,-2.052245,-0.651352,0.000000,0.000000
0.065343,-0.491365,-2.050519,-0.651352,0.000000,0.000000
0.065343,-0.491365,-2.043618,-0.651352,0.000000,0.000000
0.065343,-0.491365,-2.043618,-0.646393,0.000000,0.000000
0.065343,-0.491365,-2.043618,-0.642197,0.000000,0.000000
0.065343,-0.494816,-2.055695,-0.636093,0.000000,0.000000
0.065343,-0.496541,-2.064322,-0.618927,0.000000,0.000000
0.065343,-0.496541,-2.064322,-0.618927,0.000000,0.000000
0.065343,-0.496541,-2.064322,-0.619308,0.000000,0.000000
0.065343,-0.496541,-2.064322,-0.622360,0.000000,0.000000
0.065343,-0.496541,-2.064322,-0.621216,0.000000,0.000000
0.065343,-0.498267,-2.064322,-0.621597,0.000000,0.000000
0.065343,-0.501717,-2.064322,-0.621597,0.000000,0.000000
0.065343,-0.508618,-2.064322,-0.621597,0.000000,0.000000
0.065343,-0.520696,-2.064322,-0.621216,0.000000,0.000000
0.065343,-0.522421,-2.064322,-0.621216,0.000000,0.000000
0.065343,-0.522421,-2.064322,-0.621216,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620453,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620453,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620453,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620453,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620453,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620453,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.524146,-2.064322,-0.620834,0.000000,0.000000
0.065343,-0.525871,-2.064322,-0.621216,0.000000,0.000000
0.065778,-0.525871,-2.064322,-0.621216,0.000000,0.000000
0.067424,-0.525871,-2.064322,-0.621597,0.000000,0.000000
0.071475,-0.524146,-2.064322,-0.621979,0.000000,0.000000
0.075714,-0.524146,-2.066047,-0.626556,0.000000,0.000000
0.077647,-0.524146,-2.067772,-0.626938,0.000000,0.000000
0.078505,-0.524146,-2.069498,-0.629990,0.000000,0.000000
0.078654,-0.524146,-2.074673,-0.629608,0.000000,0.000000
0.078638,-0.522421,-2.076399,-0.628845,0.000000,0.000000
0.079181,-0.513794,-2.079849,-0.629990,0.000000,0.000000
0.080839,-0.513794,-2.081575,-0.629608,0.000000,0.000000
0.083312,-0.513794,-2.079849,-0.629227,0.000000,0.000000
0.085881,-0.512069,-2.085025,-0.629608,0.000000,0.000000
0.087675,-0.499992,-2.093652,-0.629227,0.000000,0.000000
0.088530,-0.491365,-2.098828,-0.627319,0.000000,0.000000
0.091984,-0.486190,-2.064322,-0.643723,0.000000,0.000000
0.101384,-0.453409,-2.072948,-0.662416,0.000000,0.000000
0.108127,-0.449958,-2.064322,-0.670808,0.000000,0.000000
0.120759,-0.448233,-2.050519,-0.674241,0.000000,0.000000
0.130328,-0.448233,-2.047069,-0.673478,0.000000,0.000000
0.141882,-0.443057,-2.038442,-0.668900,0.000000,0.000000
0.153936,-0.436156,-2.026365,-0.653260,0.000000,0.000000
0.175397,-0.420628,-2.003936,-0.618164,0.000000,0.000000
0.185443,-0.412002,-1.990134,-0.598709,0.000000,0.000000
0.199163,-0.405100,-1.957353,-0.564757,0.000000,0.000000
